
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Fri May  5 23:03:43 2017
     Path: "C:\Users\Joy Shalom\Desktop\Actual JF Project 2\RemoteCodePublisher_Spring2017P4_699737418 - Using WPF"
     Args: *.h, *.cpp, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
            FileSystem.cpp    function                             larger     470       3       1
            FileSystem.cpp    function                           FileInfo     264       7       1
            FileSystem.cpp    function                               good     274       3       1
            FileSystem.cpp    function                               name     280       3       1
            FileSystem.cpp    function                        intToString     286       6       1
            FileSystem.cpp    function                               date     295      14       1
            FileSystem.cpp    function                               size     312       3       1
            FileSystem.cpp    function                          isArchive     318       3       1
            FileSystem.cpp    function                       isCompressed     324       3       1
            FileSystem.cpp    function                        isDirectory     330       3       1
            FileSystem.cpp    function                        isEncrypted     336       3       1
            FileSystem.cpp    function                           isHidden     342       3       1
            FileSystem.cpp    function                           isNormal     348       3       1
            FileSystem.cpp    function                          isOffLine     354       3       1
            FileSystem.cpp    function                         isReadOnly     360       3       1
            FileSystem.cpp    function                           isSystem     366       3       1
            FileSystem.cpp    function                        isTemporary     372       3       1
            FileSystem.cpp    function                          operator<     378       3       1
            FileSystem.cpp    function                         operator==     384       3       1
            FileSystem.cpp    function                          operator>     390       3       1
            FileSystem.cpp    function                            earlier     396       5       1
            FileSystem.cpp    function                              later     404       5       1
            FileSystem.cpp    function                            smaller     412       3       1
            FileSystem.cpp    function                             larger     418       3       1
            FileSystem.cpp    function                           FileInfo     264       7       1
            FileSystem.cpp    function                               good     274       3       1
            FileSystem.cpp    function                               name     280       3       1
            FileSystem.cpp    function                        intToString     286       6       1
            FileSystem.cpp    function                               date     295      14       1
            FileSystem.cpp    function                               size     312       3       1
            FileSystem.cpp    function                          isArchive     318       3       1
            FileSystem.cpp    function                       isCompressed     324       3       1
            FileSystem.cpp    function                        isDirectory     330       3       1
            FileSystem.cpp    function                        isEncrypted     336       3       1
            FileSystem.cpp    function                           isHidden     342       3       1
            FileSystem.cpp    function                           isNormal     348       3       1
            FileSystem.cpp    function                          isOffLine     354       3       1
            FileSystem.cpp    function                         isReadOnly     360       3       1
            FileSystem.cpp    function                           isSystem     366       3       1
            FileSystem.cpp    function                        isTemporary     372       3       1
            FileSystem.cpp    function                          operator<     378       3       1
            FileSystem.cpp    function                         operator==     384       3       1
            FileSystem.cpp    function                          operator>     390       3       1
            FileSystem.cpp    function                            earlier     396       5       1
            FileSystem.cpp    function                              later     404       5       1
            FileSystem.cpp    function                            smaller     412       3       1
            FileSystem.cpp    function                             larger     418       3       1
            FileSystem.cpp    function                            toLower     424       6       1
            FileSystem.cpp    function                            toUpper     434       6       1
            FileSystem.cpp    function                            getName     443      32       5
            FileSystem.cpp    function                             getExt     478      15       2
            FileSystem.cpp    function                            getPath     496      10       1
            FileSystem.cpp    function                    getFullFileSpec     509       8       1
            FileSystem.cpp    function                           fileSpec     520      16       2
            FileSystem.cpp    function                            toLower     477       6       1
            FileSystem.cpp    function                            toUpper     487       6       1
            FileSystem.cpp    function                            getName     497      32       5
            FileSystem.cpp    function                             getExt     533      15       2
            FileSystem.cpp    function                            getPath     552      10       1
            FileSystem.cpp    function                    getFullFileSpec     566       8       1
            FileSystem.cpp    function                           fileSpec     578      16       2
            FileSystem.cpp    function                            toLower     424       6       1
            FileSystem.cpp    function                            toUpper     434       6       1
            FileSystem.cpp    function                            getName     443      32       5
            FileSystem.cpp    function                             getExt     478      15       2
            FileSystem.cpp    function                            getPath     496      10       1
            FileSystem.cpp    function                    getFullFileSpec     509       8       1
            FileSystem.cpp    function                           fileSpec     520      16       2
            FileSystem.cpp    function                            toLower     424       6       1
            FileSystem.cpp    function                            toUpper     434       6       1
            FileSystem.cpp    function                            getName     443      32       5
            FileSystem.cpp    function                             getExt     478      15       2
            FileSystem.cpp    function                            getPath     496      10       1
            FileSystem.cpp    function                    getFullFileSpec     509       8       1
            FileSystem.cpp    function                           fileSpec     520      16       2
            FileSystem.cpp    function                getCurrentDirectory     539       5       1
            FileSystem.cpp    function                setCurrentDirectory     547       3       1
            FileSystem.cpp    function                           getFiles     553      16       2
            FileSystem.cpp    function                     getDirectories     572      16       2
            FileSystem.cpp    function                             create     591       3       1
            FileSystem.cpp    function                             exists     597       6       1
            FileSystem.cpp    function                             remove     606       3       1
            FileSystem.cpp    function                getCurrentDirectory     598       5       1
            FileSystem.cpp    function                setCurrentDirectory     607       3       1
            FileSystem.cpp    function                           getFiles     614      16       2
            FileSystem.cpp    function                     getDirectories     634      16       2
            FileSystem.cpp    function                             create     654       3       1
            FileSystem.cpp    function                             exists     661       6       1
